session_id,cities,session_date,session_time,user_id,joining_date,country,num_cities,session_hour,coordinates,distances,avg_distance,std_distance,intent
2191KM9N3UDBW,"Chicago IL, Vancouver BC",2015-03-03,09:33:20,5252,2015-03-01,DE,2,9,"['41.8755616, -87.6244212', '49.2608724, -123.1139529']",[2859.8399266984666],2859.8399266984666,0.0,low
1JAX9ZHGG6GDG,"New York NY, Jersey City NJ",2015-03-03,09:56:23,7811,2015-02-28,UK,2,9,"['40.7127281, -74.0060152', '40.7281575, -74.0776417']",[6.2895817337946],6.2895817337946,0.0,high
DOOHI0P6ZEEU7,Philadelphia PA,2015-03-03,13:14:20,1643,2015-02-28,US,1,13,"['39.9527237, -75.1635262']",[],0.0,0.0,high
625X7WDKHLM4W,Los Angeles CA,2015-03-03,14:19:20,379,2015-03-03,UK,1,14,"['34.0536909, -118.2427666']",[],0.0,0.0,high
W4R4NDDZ8PH2J,"Toronto ON, Saint Catharines-Niagara ON",2015-03-03,15:12:28,258,2015-02-28,US,2,15,"['43.6534817, -79.3839347', '43.1579812, -79.2441003']",[56.20360770779935],56.20360770779935,0.0,high
VC97NG8PXK4G2,Montreal QC,2015-03-03,16:32:38,8094,2015-03-02,UK,1,16,"['45.4972159, -73.6103642']",[],0.0,0.0,high
OZ350W1P8PPWC,New York NY,2015-03-03,18:58:25,8085,2015-03-01,US,1,18,"['40.7127281, -74.0060152']",[],0.0,0.0,high
NWH6K7V0RZAH1,Montreal QC,2015-03-04,02:05:03,10817,2015-02-28,unknown,1,2,"['45.4972159, -73.6103642']",[],0.0,0.0,high
5UDX1BPQA2DY7,"Toronto ON, Chicago IL",2015-03-04,07:30:34,8045,2015-02-28,IT,2,7,"['43.6534817, -79.3839347', '41.8755616, -87.6244212']",[702.4693684489885],702.4693684489885,0.0,high
KJYQR4LPX62KH,"San Diego CA, Santa Ana CA, Long Beach CA, Los Angeles CA",2015-03-04,07:44:33,6866,2015-02-28,ES,4,7,"['32.7174209, -117.1627714', '33.7494951, -117.8732213', '47.9960267, -53.8155345', '34.0536909, -118.2427666']","[132.23857808404023, 5475.882538742727, 179.05896652855864, 5459.028180910723, 48.02850621465514, 5466.040110774777]",2793.379480209247,2673.883415571079,low
MM28DHGRLWFAF,Vancouver BC,2015-03-04,07:59:14,7536,2015-02-28,ES,1,7,"['49.2608724, -123.1139529']",[],0.0,0.0,high
KS8U1B9NCXEY0,Dallas TX,2015-03-04,08:15:25,8294,2015-03-01,DE,1,8,"['32.7762719, -96.7968559']",[],0.0,0.0,high
UXLZQKKZ40E8I,Montreal QC,2015-03-04,08:49:05,2073,2015-03-03,UK,1,8,"['45.4972159, -73.6103642']",[],0.0,0.0,high
GVSEZY6Z0QFKK,"Los Angeles CA, Long Beach CA",2015-03-04,09:01:20,7990,2015-03-03,UK,2,9,"['34.0536909, -118.2427666', '47.9960267, -53.8155345']",[5466.040110774777],5466.040110774777,0.0,low
8L4Z2ELB8R4CF,"Montreal QC, Boston MA",2015-03-04,09:04:42,3852,2015-03-04,IT,2,9,"['45.4972159, -73.6103642', '42.3602534, -71.0582912']",[404.2815293402504],404.2815293402504,0.0,high
RJJAYF1Y2WL7A,Columbus OH,2015-03-04,09:49:21,4952,2015-02-28,FR,1,9,"['39.9622601, -83.0007065']",[],0.0,0.0,high
617K9NLGAWI3Z,"New York NY, Newark NJ, Jersey City NJ",2015-03-04,10:12:51,9406,2015-02-28,ES,3,10,"['40.7127281, -74.0060152', '40.735657, -74.1723667', '40.7281575, -74.0776417']","[14.28298085571759, 6.2895817337946, 8.045131086740298]",9.539231225417495,3.4300494455995065,high
WBIQ3KBJ8ON7G,Philadelphia PA,2015-03-04,10:20:45,2872,2015-03-03,unknown,1,10,"['39.9527237, -75.1635262']",[],0.0,0.0,high
GXXXR5RTG9ZR9,"San Jose CA, Montreal QC, Chicago IL",2015-03-04,10:50:40,9500,2015-02-28,DE,3,10,"['37.3361905, -121.8905833', '45.4972159, -73.6103642', '41.8755616, -87.6244212']","[4072.7575430303937, 2965.4664840076953, 1197.4957582515608]",2745.239928429883,1184.1051148690701,low
EXQOT4PQ71RS6,New York NY,2015-03-04,11:03:04,2092,2015-03-01,DE,1,11,"['40.7127281, -74.0060152']",[],0.0,0.0,high
WIAV1DLKQCQTU,New York NY,2015-03-04,11:22:44,6893,2015-02-28,ES,1,11,"['40.7127281, -74.0060152']",[],0.0,0.0,high
BGNGX8W0F54S9,Indianapolis IN,2015-03-04,11:38:38,4366,2015-03-03,FR,1,11,"['39.7683331, -86.1583502']",[],0.0,0.0,high
W7MK0PG88OGK1,"Indianapolis IN, Cincinnati OH, Lexington KY, Nashville TN, Louisville KY",2015-03-04,11:58:36,10979,2015-03-04,ES,5,11,"['39.7683331, -86.1583502', '39.1014537, -84.5124602', '38.0464066, -84.4970393', '36.1622296, -86.7743531', '38.2542376, -85.759407']","[159.87390083815544, 239.37635902925248, 403.9030019273923, 171.60257467906143, 117.12571450719247, 382.4370811053158, 143.58995802214238, 291.0171960349468, 113.0283687702236, 249.0371801658]",227.09913350794827,99.89303645447518,high
XOJPKOMCLIG6U,"New York NY, Jersey City NJ, Newark NJ",2015-03-04,13:14:17,5141,2015-03-03,ES,3,13,"['40.7127281, -74.0060152', '40.7281575, -74.0776417', '40.735657, -74.1723667']","[6.2895817337946, 14.28298085571759, 8.045131086740298]",9.539231225417495,3.4300494455995065,high
H3KI4Z6KEIZ9T,New York NY,2015-03-04,13:57:23,3001,2015-03-02,IT,1,13,"['40.7127281, -74.0060152']",[],0.0,0.0,high
2P3DSOSMS75QY,"San Diego CA, Long Beach CA, Santa Ana CA, Los Angeles CA",2015-03-04,14:08:16,9055,2015-03-01,FR,4,14,"['32.7174209, -117.1627714', '47.9960267, -53.8155345', '33.7494951, -117.8732213', '34.0536909, -118.2427666']","[5475.882538742727, 132.23857808404023, 179.05896652855864, 5459.028180910723, 5466.040110774777, 48.02850621465514]",2793.379480209247,2673.883415571079,low
TRWREUPFK7DA7,New York NY,2015-03-04,14:25:23,847,2015-02-28,FR,1,14,"['40.7127281, -74.0060152']",[],0.0,0.0,high
IYXR6LR6YNCMS,"Los Angeles CA, Santa Ana CA",2015-03-04,14:51:36,6171,2015-03-03,US,2,14,"['34.0536909, -118.2427666', '33.7494951, -117.8732213']",[48.02850621465514],48.02850621465514,0.0,high
LGZFVNPLV4EZE,Vancouver BC,2015-03-04,15:27:44,1342,2015-03-02,DE,1,15,"['49.2608724, -123.1139529']",[],0.0,0.0,high
7VD7S9VMEON5O,Los Angeles CA,2015-03-04,21:55:20,2325,2015-03-04,US,1,21,"['34.0536909, -118.2427666']",[],0.0,0.0,high
ZJ03902X0AZN7,San Diego CA,2015-03-05,01:57:45,3726,2015-03-01,unknown,1,1,"['32.7174209, -117.1627714']",[],0.0,0.0,high
61LY7TTQ05P40,"Vancouver BC, Victoria BC, Calgary AB, Edmonton AB",2015-03-05,05:16:52,5433,2015-03-05,unknown,4,5,"['49.2608724, -123.1139529', '48.4283182, -123.3649533', '51.0534234, -114.0625892', '53.535411, -113.507996']","[94.4006525460384, 676.3475747106531, 819.3106644071983, 730.6570946857257, 894.1265437741407, 278.75547842653754]",582.2663347583823,292.81668478207365,high
6OBEPJRGZHVSD,Toronto ON,2015-03-05,06:52:52,1566,2015-03-02,DE,1,6,"['43.6534817, -79.3839347']",[],0.0,0.0,high
DATH35MKF9HJS,"Los Angeles CA, Santa Ana CA",2015-03-05,07:07:47,5526,2015-03-04,UK,2,7,"['34.0536909, -118.2427666', '33.7494951, -117.8732213']",[48.02850621465514],48.02850621465514,0.0,high
S4PXP56M7G40W,"Montreal QC, Quebec QC, Boston MA",2015-03-05,09:18:22,4499,2015-02-28,DE,3,9,"['45.4972159, -73.6103642', '46.8259601, -71.2352226', '42.3602534, -71.0582912']","[235.49741291531294, 404.2815293402504, 496.44490267151014]",378.7412816423578,108.05130353021335,high
G8EYKQAXV2VDI,"New York NY, Los Angeles CA",2015-03-05,09:21:47,5206,2015-03-01,UK,2,9,"['40.7127281, -74.0060152', '34.0536909, -118.2427666']",[3944.2753995585103],3944.2753995585103,0.0,low
IH1SXSBNIP58C,San Jose CA,2015-03-05,11:59:10,200,2015-03-05,IT,1,11,"['37.3361905, -121.8905833']",[],0.0,0.0,high
DLOBQCKZ8JRM3,New York NY,2015-03-05,13:25:52,4952,2015-02-28,FR,1,13,"['40.7127281, -74.0060152']",[],0.0,0.0,high
ACZVRMUYETZK8,"San Jose CA, Stockton CA, Sacramento CA",2015-03-05,13:54:38,7206,2015-03-02,FR,3,13,"['37.3361905, -121.8905833', '49.583333, -99.45', '38.5815719, -121.4943996']","[2254.5815689601413, 142.54888625907387, 2134.6052071182617]",1510.5785541124922,968.5822838718295,low
PU2GZLJLDLMOG,"San Diego CA, Santa Ana CA, Riverside CA, Anaheim CA",2015-03-05,15:11:05,1946,2015-03-02,DE,4,15,"['32.7174209, -117.1627714', '33.7494951, -117.8732213', '50.481292, -108.2892248', '33.8347516, -117.911732']","[132.23857808404023, 2103.4601736424797, 142.21396291302347, 2016.4562040462988, 10.106709662219263, 2008.794865789988]",1068.8784156896747,975.4233893510697,high
0ZIVABCK11NDR,"Montreal QC, OTTAWA ON",2015-03-05,16:19:50,843,2015-03-01,UK,2,16,"['45.4972159, -73.6103642', '45.421106, -75.690308']",[162.89704943731655],162.89704943731655,0.0,high
R969G2O7URZB1,New York NY,2015-03-05,16:26:08,7060,2015-03-01,IT,1,16,"['40.7127281, -74.0060152']",[],0.0,0.0,high
D0AABSEGESERF,Los Angeles CA,2015-03-05,16:27:24,9232,2015-03-03,US,1,16,"['34.0536909, -118.2427666']",[],0.0,0.0,high
Q2I5FU2E7JX98,"Vancouver BC, New York NY",2015-03-05,18:48:57,9232,2015-03-03,US,2,18,"['49.2608724, -123.1139529', '40.7127281, -74.0060152']",[3914.1866982834285],3914.1866982834285,0.0,low
J531UUGWVQT6J,New York NY,2015-03-05,19:28:25,7439,2015-02-28,US,1,19,"['40.7127281, -74.0060152']",[],0.0,0.0,high
GZ121D8QYYVTN,"Toronto ON, New York NY",2015-03-06,00:57:52,1673,2015-03-05,unknown,2,0,"['43.6534817, -79.3839347', '40.7127281, -74.0060152']",[551.2472669034609],551.2472669034609,0.0,high
ACW8H6OUFYQ4K,"Indianapolis IN, Montreal QC",2015-03-06,01:58:08,2616,2015-03-01,unknown,2,1,"['39.7683331, -86.1583502', '45.4972159, -73.6103642']",[1208.0030931656709],1208.0030931656709,0.0,high
8WCSZFQYYKNKL,Los Angeles CA,2015-03-06,04:46:51,5717,2015-02-28,IT,1,4,"['34.0536909, -118.2427666']",[],0.0,0.0,high
ICJR2XHRH9J8X,Philadelphia PA,2015-03-06,04:57:39,9496,2015-03-01,unknown,1,4,"['39.9527237, -75.1635262']",[],0.0,0.0,high
5DECAINOVJ5CW,Calgary AB,2015-03-06,05:41:41,8546,2015-03-06,unknown,1,5,"['51.0534234, -114.0625892']",[],0.0,0.0,high
Z0IEANJLDGRB2,"San Antonio TX, Austin TX",2015-03-06,06:07:53,5363,2015-02-28,FR,2,6,"['29.4246002, -98.4951405', '30.2711286, -97.7436995']",[118.65111624660021],118.65111624660021,0.0,high
2ZBRNC5KWD828,"New York NY, Houston TX",2015-03-06,07:44:23,3810,2015-03-05,UK,2,7,"['40.7127281, -74.0060152', '29.7589382, -95.3676974']",[2283.4731891218285],2283.4731891218285,0.0,low
VO6DTTID3XFK0,Phoenix AZ,2015-03-06,09:26:45,5426,2015-03-02,unknown,1,9,"['33.4484367, -112.0741417']",[],0.0,0.0,high
14WDDOT7PSZGM,Chicago IL,2015-03-06,09:42:17,2533,2015-03-05,IT,1,9,"['41.8755616, -87.6244212']",[],0.0,0.0,high
N5G5R8VSY73JD,"San Diego CA, Montreal QC, New York NY",2015-03-06,10:27:21,9943,2015-03-02,DE,3,10,"['32.7174209, -117.1627714', '45.4972159, -73.6103642', '40.7127281, -74.0060152']","[3968.381437601855, 3915.3979215816726, 532.5046492455209]",2805.4280028096823,1607.3450659655055,low
810ANT8455J2Q,"Toronto ON, Oshawa ON",2015-03-06,11:16:30,6955,2015-03-04,ES,2,11,"['43.6534817, -79.3839347', '43.91768, -78.862953']",[51.18899630231491],51.18899630231491,0.0,high
FDWM9CHAKXVOJ,"San Antonio TX, Corpus Christi TX",2015-03-06,11:23:33,9067,2015-03-01,ES,2,11,"['29.4246002, -98.4951405', '27.7477253, -97.4014129']",[214.44073434456269],214.44073434456269,0.0,high
RCO2TAKW511MD,Vancouver BC,2015-03-06,13:21:00,1298,2015-03-02,DE,1,13,"['49.2608724, -123.1139529']",[],0.0,0.0,high
2BBSXF89A35KE,"Columbus OH, Cincinnati OH",2015-03-06,13:21:08,7372,2015-03-01,UK,2,13,"['39.9622601, -83.0007065', '39.1014537, -84.5124602']",[161.32331921984527],161.32331921984527,0.0,high
6UPD5PP9F7Q51,"Indianapolis IN, Vancouver BC",2015-03-06,13:44:35,8386,2015-03-01,IT,2,13,"['39.7683331, -86.1583502', '49.2608724, -123.1139529']",[3085.4811636087356],3085.4811636087356,0.0,low
EECRO2SGTPYEC,Philadelphia PA,2015-03-06,14:22:29,8991,2015-03-01,UK,1,14,"['39.9527237, -75.1635262']",[],0.0,0.0,high
PV55Q06GXSNPL,"New York NY, Chicago IL",2015-03-06,15:14:10,5838,2015-02-28,DE,2,15,"['40.7127281, -74.0060152', '41.8755616, -87.6244212']",[1146.7355698523086],1146.7355698523086,0.0,high
XF4QA6SJ6SIJL,Chicago IL,2015-03-06,15:30:57,6522,2015-03-02,DE,1,15,"['41.8755616, -87.6244212']",[],0.0,0.0,high
IBAJ8HZ3WUMH2,Dallas TX,2015-03-06,16:02:19,4424,2015-02-28,DE,1,16,"['32.7762719, -96.7968559']",[],0.0,0.0,high
PPRL5KNHBYNJ1,New York NY,2015-03-06,17:12:39,4162,2015-03-02,UK,1,17,"['40.7127281, -74.0060152']",[],0.0,0.0,high
HWVSGY8LBT5G6,"Vancouver BC, Portland OR, Sacramento CA",2015-03-06,17:14:03,1959,2015-02-28,FR,3,17,"['49.2608724, -123.1139529', '45.5202471, -122.6741949', '38.5815719, -121.4943996']","[417.1979270933703, 1193.6157048634802, 776.8473270548528]",795.8869863372344,317.2570176566216,high
D1A5EH1ZJK2XB,Toronto ON,2015-03-07,06:33:40,3845,2015-03-03,unknown,1,6,"['43.6534817, -79.3839347']",[],0.0,0.0,high
171TFSEN4OTMO,"Toronto ON, Chicago IL",2015-03-07,07:52:48,8932,2015-03-06,UK,2,7,"['43.6534817, -79.3839347', '41.8755616, -87.6244212']",[702.4693684489885],702.4693684489885,0.0,high
Q9W27GCS6CB52,"Indianapolis IN, New York NY",2015-03-07,07:59:11,10327,2015-03-02,FR,2,7,"['39.7683331, -86.1583502', '40.7127281, -74.0060152']",[1038.5445437999504],1038.5445437999504,0.0,high
PRHEQCH6NTL8E,"Vancouver BC, Seattle WA",2015-03-07,08:00:31,2517,2015-03-05,unknown,2,8,"['49.2608724, -123.1139529', '47.6038321, -122.3300624']",[193.1728597691226],193.1728597691226,0.0,high
KSE13XI8JLGK0,"Philadelphia PA, Newark NJ",2015-03-07,08:17:13,8608,2015-03-01,DE,2,8,"['39.9527237, -75.1635262', '40.735657, -74.1723667']",[121.03515994764935],121.03515994764935,0.0,high
7XK7E23KAL4YU,New York NY,2015-03-07,08:47:59,5363,2015-02-28,FR,1,8,"['40.7127281, -74.0060152']",[],0.0,0.0,high
4V412YOPCTP77,"Phoenix AZ, Glendale AZ",2015-03-07,08:53:35,6068,2015-03-05,IT,2,8,"['33.4484367, -112.0741417', '33.5386858, -112.1859941']",[14.430509629071242],14.430509629071242,0.0,high
D2A7MMJWCUF43,"New York NY, Houston TX",2015-03-07,10:42:43,1801,2015-03-03,DE,2,10,"['40.7127281, -74.0060152', '29.7589382, -95.3676974']",[2283.4731891218285],2283.4731891218285,0.0,low
CFH25UR0MYPWS,New York NY,2015-03-07,11:09:06,10963,2015-03-05,unknown,1,11,"['40.7127281, -74.0060152']",[],0.0,0.0,high
XT1MK384D9YM4,San Diego CA,2015-03-07,11:09:30,6746,2015-02-28,unknown,1,11,"['32.7174209, -117.1627714']",[],0.0,0.0,high
CGLMNQWP3CZDL,New York NY,2015-03-07,11:56:40,7428,2015-03-03,UK,1,11,"['40.7127281, -74.0060152']",[],0.0,0.0,high
BW7SE0DVBFKC3,Houston TX,2015-03-07,12:48:22,4667,2015-03-07,DE,1,12,"['29.7589382, -95.3676974']",[],0.0,0.0,high
JIX5W0M4PRUPX,San Antonio TX,2015-03-07,13:46:57,3625,2015-03-07,ES,1,13,"['29.4246002, -98.4951405']",[],0.0,0.0,high
NOPIHL1N7XFME,"Houston TX, Corpus Christi TX",2015-03-07,13:50:15,5232,2015-03-01,IT,2,13,"['29.7589382, -95.3676974', '27.7477253, -97.4014129']",[298.5516300993382],298.5516300993382,0.0,high
1N62V4RAE4HIU,Los Angeles CA,2015-03-07,14:17:10,2398,2015-02-28,US,1,14,"['34.0536909, -118.2427666']",[],0.0,0.0,high
JM7OHO8Y2LTSL,"New York NY, Toronto ON",2015-03-07,14:22:32,2280,2015-03-02,ES,2,14,"['40.7127281, -74.0060152', '43.6534817, -79.3839347']",[551.2472669034609],551.2472669034609,0.0,high
FOS0JZ23IQAM6,"Toronto ON, Oshawa ON",2015-03-07,16:19:05,6663,2015-02-28,UK,2,16,"['43.6534817, -79.3839347', '43.91768, -78.862953']",[51.18899630231491],51.18899630231491,0.0,high
QF21SGCABM4JC,Dallas TX,2015-03-07,16:40:38,1108,2015-03-01,UK,1,16,"['32.7762719, -96.7968559']",[],0.0,0.0,high
MJAFJCF5MAQFL,"Chicago IL, Madison WI",2015-03-07,17:13:28,2405,2015-03-07,ES,2,17,"['41.8755616, -87.6244212', '43.074761, -89.3837613']",[196.65156165101033],196.65156165101033,0.0,high
6K1IAVDSC9NKO,"Indianapolis IN, Cincinnati OH, Louisville KY",2015-03-07,22:41:13,28,2015-03-02,US,3,22,"['39.7683331, -86.1583502', '39.1014537, -84.5124602', '38.2542376, -85.759407']","[159.87390083815544, 171.60257467906143, 143.58995802214238]",158.35547784645306,11.486394249376735,high
PE0K43Z3020VG,"Philadelphia PA, Montreal QC",2015-03-07,23:07:31,8783,2015-03-02,US,2,23,"['39.9527237, -75.1635262', '45.4972159, -73.6103642']",[628.8868090926171],628.8868090926171,0.0,high
KN2NG9804KW8N,"Houston TX, San Antonio TX",2015-03-08,03:29:16,5468,2015-03-01,unknown,2,3,"['29.7589382, -95.3676974', '29.4246002, -98.4951405']",[305.2309057652728],305.2309057652728,0.0,high
7MDMK4DXKFVLJ,Toronto ON,2015-03-08,04:38:00,10029,2015-03-07,unknown,1,4,"['43.6534817, -79.3839347']",[],0.0,0.0,high
WZPJGEUKE4CL7,Houston TX,2015-03-08,05:11:40,9103,2015-03-04,UK,1,5,"['29.7589382, -95.3676974']",[],0.0,0.0,high
NBXR5CIIA9CV1,Houston TX,2015-03-08,05:37:29,2455,2015-03-03,unknown,1,5,"['29.7589382, -95.3676974']",[],0.0,0.0,high
LF3RKJY722MOF,Chicago IL,2015-03-08,06:52:53,2111,2015-03-03,unknown,1,6,"['41.8755616, -87.6244212']",[],0.0,0.0,high
EZBFZ86J4B8LH,"Philadelphia PA, Los Angeles CA",2015-03-08,06:59:55,3801,2015-03-06,unknown,2,6,"['39.9527237, -75.1635262', '34.0536909, -118.2427666']",[3851.9414637430505],3851.9414637430505,0.0,low
VWLMMJNWBB7RL,"New York NY, Philadelphia PA",2015-03-08,07:24:18,8613,2015-03-03,DE,2,7,"['40.7127281, -74.0060152', '39.9527237, -75.1635262']",[129.60181091014726],129.60181091014726,0.0,high
FO2IXD12VO11V,"Montreal QC, Chicago IL",2015-03-08,07:43:35,4119,2015-03-07,FR,2,7,"['45.4972159, -73.6103642', '41.8755616, -87.6244212']",[1197.4957582515608],1197.4957582515608,0.0,high
O97UPF111EHIY,San Antonio TX,2015-03-08,09:58:38,4983,2015-03-02,IT,1,9,"['29.4246002, -98.4951405']",[],0.0,0.0,high
9KDNZ85UNS1XC,"Montreal QC, OTTAWA ON",2015-03-08,10:09:07,449,2015-03-07,UK,2,10,"['45.4972159, -73.6103642', '45.421106, -75.690308']",[162.89704943731655],162.89704943731655,0.0,high
Y9SFY2NSBCWO1,Toronto ON,2015-03-08,10:45:35,8716,2015-03-05,IT,1,10,"['43.6534817, -79.3839347']",[],0.0,0.0,high
U7VP51ZSE7WDX,"New York NY, Newark NJ, Philadelphia PA, Baltimore MD, WASHINGTON DC, Norfolk VA, Virginia Beach VA",2015-03-08,11:09:29,8550,2015-03-01,FR,7,11,"['40.7127281, -74.0060152', '40.735657, -74.1723667', '39.9527237, -75.1635262', '39.2908816, -76.610759', '38.8948932, -77.0365529', '36.8462923, -76.2929252', '36.8529841, -75.9774183']","[14.28298085571759, 129.60181091014726, 272.73605892878385, 328.7382039713832, 472.93969977867744, 461.4109813831647, 121.03515994764935, 262.8025882220645, 319.2090053648178, 469.38632746671004, 458.6315900874163, 144.3618561155261, 199.50331221299123, 358.6526041199183, 351.34668910987926, 57.35453525297396, 272.77303548252695, 276.2466698613788, 236.60620242935727, 245.0438465136097, 28.14878398447041]",260.991044857103,138.94252121201924,high
R66DT1YRM0YSS,Chicago IL,2015-03-08,11:28:58,8061,2015-03-02,DE,1,11,"['41.8755616, -87.6244212']",[],0.0,0.0,high
CNU53VRCDWHIT,Los Angeles CA,2015-03-08,11:44:53,3162,2015-03-07,DE,1,11,"['34.0536909, -118.2427666']",[],0.0,0.0,high
Z30WVMEKRSREF,New York NY,2015-03-08,12:11:49,7372,2015-03-01,UK,1,12,"['40.7127281, -74.0060152']",[],0.0,0.0,high
UILABWYY9QGDX,Calgary AB,2015-03-08,12:32:30,10162,2015-02-28,unknown,1,12,"['51.0534234, -114.0625892']",[],0.0,0.0,high
QJ40FFJZBI0MT,Toronto ON,2015-03-08,12:46:31,3186,2015-03-01,FR,1,12,"['43.6534817, -79.3839347']",[],0.0,0.0,high
